city_name,city_code
Фрипорт,FPO
Талукан,TQN
Таринкот,TII
Хенераль-Вильегас,VGS
Хенераль-Пико,GPO
Хенераль-Рока,GNR
Хосе-Де-Сан-Мартин,JSM
Хунин,JNI
Харбор-Айленд,HBI
Ургун,URN
Урузган,URZ
Чарата,CNT
Чос-Малаль,HOS
Файзабад,FBD
Фарах,FAH
Читтагонг,CGP
Шамшернагар,ZHM
Хвахан,KWH
Хост,KHT
Чаб-Кэй,CCZ
Чагчаран,CCN
Шегнан,SGA
Эль-Больсон,EHL
Эль-Вигиа,VIG
Эльдорадо,ELO
Эль-Калафате,FTE
Эль-Майтен,EMX
Эль-Паломар,EPA
Эмбаркасьон,ZAI
Эскель,EQS
Белиз-Сити,BZE
Бельмопан,BCV
Биг-Крик,BGK
Эндрос-Таун,ASD
Брюссель,BRU
Бермуды,BDA
Аполо,APB
Аскеншн,ASC
Дангрига,DGA
Бургас,BOJ
Гент,GNE
Баурес,BVL
Бермехо,BJO
Алегрети,ALQ
Аленкер,ALT
Алменара,AMJ
Алта-Флореста,AFL
Алту-Парнаиба,APY
Альтамира,ATM
Анаполис,APS
Апукарана,APU
Арагаркас,ARS
Арагуайна,AUX
Аракажу,AJU
Арапирака,APQ
Арапонгас,APX
Арапоти,AAG
Араракуара,AQA
Арасатуба,ARU
Араша,AAX
Арикумес,AQM
Арипуана,AIR
Арраиас,AAI
Ассис,AIF
Атибайа,ZBW
Баня-Лука,BNX
Гитега,GID
Баже,BGX
Балсас,BSS
Барбелос,BAZ
Барра,BQQ
Барра-ду-Гаркас,BPG
Барра-ду-Корда,BDC
Баррейрас,BRA
Баррейриньяс,BRB
Барретус,BAT
Бауру,BAU
Белем,BEL
Белмонти,BVM
Белу-Оризонти,BHZ
Бенто-Гонсалвес,BGV
Блуменау,BNU
Боа-Виста,BVB
Бока-ду-Акри,BCR
Бом-Жезус-да-Лапа,LAZ
Бонито,BYO
Борба,RBB
Браганса-Паулиста,BJP
Бразилиа,BSB
Бревес,BVS
Брумаду,BMS
Бузиос,BZC
Джугу,DJA
Валье-Гранде,VAH
Вилья-Монтес,VLM
Варна,VAR
Видин,VID
Валенса,VAL
Варгинья,VAG
Видейра,VIA
Вила-Рика,VLP
Вильена,BVH
Витория,VIX
Витория-да-Конкиста,VDC
Вотупоранга,VOT
Габороне,GBE
Ганзи,GNZ
Индепенденс,INB
Горна-Ореховица,GOZ
Зерсел,OBL
Гваделупе,GDP
Гимарайнс,GMS
Говернадор-Валадарис,GVR
Гояния,GYN
Граватаи,GCV
Гуажара-Мирин,GJM
Гуанамби,GNM
Гуарапари,GUZ
Гуарапуава,GPB
Гуаратинкета,GUJ
Гурупи,GRP
Гуаярамерин,GYA
Диамантино,DMT
Дивинополис,DIQ
Дорадус,DOU
Кайе-Колкер,CUK
Кайе-Чапел,CYC
Корозал,CZH
Кнокке/Хет-Зют,KNO
Кортрейк,KJK
Мелинда,MDB
Мопти,MZI
Жакареа-Канга,JCR
Жакобина,JCM
Жалис,JLS
Жануария,JNA
Жатаи,JTI
Жекие,JEQ
Жи-Парана,JPR
Жоакаба,JCB
Жоинвили,JOI
Жуазейру-ду-Норти,JDO
Жуан-Песоа,JPA
Жуара,JUA
Жуина,JIA
Жуис-ди-Фора,JDF
Журуэна,JRN
Льеж,LGG
Мускрон,MWW
Ориндж-Уолк,ORZ
Канди,KDC
Кирундо,KRE
Котону,COO
Карджали,KDG
Пласенсия,PLJ
Пунта-Горда,PND
Игуасу-Фоллз,IGU
Ижуи,IJU
Ильеус,IOS
Илья-Сольтейра,ILB
Императрис,IMP
Ипатинга,IPN
Ипиау,IPU
Ипиранга,IPG
Иресе,IRE
Итабуна,ITN
Итаитуба,ITB
Итаки,ITQ
Итакоатиара,ITA
Итамбакури,ITI
Итауба,AUB
Итубера,ITE
Итумбиара,ITR
Остенде,OST
Канье,JWA
Касане,BBK
Сан-Игнасио,SQS
Сан-Педро,SPR
Санта-Крус,STU
Сартанеджа,SJX
Силвер-Крик,SVK
Камири,CAM
Кобиха,CIJ
Консепсьон,CEP
Кочабамба,CBB
Лобаце,LOQ
Натитингу,NAE
Плевен,PVN
Пловдив,PDV
Кабо-Фрио,CFB
Какоал,OAL
Калдас-Новас,CLV
Камета,CMT
Камосим,CMC
Кампина-Гранди,CPV
Кампинас,CPQ
Кампо-Мурао,CBW
Кампу-Гранди,CGR
Кампус,CAW
Кана-Брава,NBV
Канавиейрас,CNV
Канарана,CQA
Каравелас,CRQ
Каражас,CKS
Карауари,CAF
Каролина,CLN
Каруару,CAU
Карутапера,CTP
Касадор,CFC
Касерес,CCX
Каскавел,CAC
Кассиландиа,CSS
Каталао,TLZ
Кашиас-ду-Сул,CXJ
Кашоэйра,CCQ
Кашоэйро-де-Итапемирим,CDI
Колорадо-ду-Уэсте,CSW
Конкордия,CCI
Консейсан-ду-Арагуая,CDJ
Конфреца,CFO
Корнелио-Прокопио,CKO
Корумба,CMG
Коста-Маркес,CQS
Котригуачу,OTT
Крисиума,CCM
Крузейро-ду-Сул,CZS
Крус-Алта,CZB
Куари,CIZ
Куритиба,CWB
Курурупу,CPU
Куяба,CGB
Ла-Пас,LPB
Мон,MUB
Магдалена,MGD
Монтеагудо,MHW
Русе,ROU
Лабреа,LBR
Лажис,LAJ
Ленкоис,LEC
Леополдина,LEP
Ливраменто,LVB
Линс,LIP
Лондрина,LDB
Лукас-Ду-Рио-Верде,LVR
Мостар,OMO
Силистра,SLS
Согндаль,SOG
София,SOF
Стара-Загора,SZR
Параку,PKO
Макапа,MCP
Макау,MEA
Манаус,MAO
Маникоре,MNX
Мараба,MAB
Марилиа,MII
Маринга,MGF
Масейо,MCZ
Мато-Гроссо,MTG
Матупа,MBK
Мауэс,MBZ
Минаку,MQH
Мирацема-ду-Норте,NTM
Монте-Алегре,MTE
Монте-Дурадо,MEU
Монтес-Кларос,MOC
Мосоро,MVF
Моханбари,MOH
Мукури,MVS
Орапа,ORP
Тарговиште,TGV
Оруро,ORU
Навегантес,NVT
Нануки,NNU
Натал,NAT
Никеландиа,NQL
Нова-Шавантина,NOK
Ново-Арипуана,NVP
Ново-Прогрессо,NPR
Потоси,POI
Саве,SVF
Обидуш,OBI
Оиапоки,OYK
Оришимина,ORX
Оуриландиа,OIA
Оуриньос,OUS
Рейес,REY
Риберальта,RIB
Роборе,RBO
Рурренабак,RBQ
Палмас,PMW
Паранаваи,PVI
Паранагуа,PNG
Паранаиба,PBB
Паринтинс,PIN
Парнаиба,PHB
Пассос,PSW
Пассо-Фундо,PFB
Пато-Бранко,PTO
Патуc-ди-Минас,POJ
Пауло-Афонсо,PAV
Пелотас,PET
Петролина,PNZ
Пикус,PCS
Пименто-Буэну,PBQ
Пиньейру,PHI
Пирапора,PIV
Питинга,PIG
Понта-Гросса,PGZ
Понта-Пелада,PLL
Понта-Пора,PMG
Понтес-э-Ласерда,LCB
Портос-дос-Гаучос,PBV
Порту-Алегре,POA
Порту-Алегри-ду-Норти,PBX
Порту-Велью,PVH
Порту-ди-Моз,PTQ
Порту-Насионал,PNB
Порту-Сегуру,BPS
Посус-ди-Калдас,POO
Поусо-Алегре,PPY
